LOCATION,Country,Type of indicator,Net childcares cost by item,SATOPUPS,Include social assistance benefits,Year,Value,No children 0-14,Employment ,Part-time,Full-time
USA,United States,Percentage of average wage,Gross childcare fees,1,Yes,2015,15,60.6,66.3,12.2,53.9
USA,United States,Percentage of average wage,Gross childcare fees,1,Yes,2018,15,62.4,69.1,11.7,57
USA,United States,Percentage of average wage,Gross childcare fees,1,Yes,2019,15,63,70,11.5,58.1
BGR,Bulgaria,Percentage of average wage,Gross childcare fees,1,Yes,2008,15,56.4,70.4,0.8,66.4
BGR,Bulgaria,Percentage of average wage,Gross childcare fees,1,Yes,2012,16,55,62.6,1,59.6
BGR,Bulgaria,Percentage of average wage,Gross childcare fees,1,Yes,2015,16,58.7,64.6,1.6,60.2
BGR,Bulgaria,Percentage of average wage,Gross childcare fees,1,Yes,2018,13,62.4,68.6,0.9,64.2
BGR,Bulgaria,Percentage of average wage,Gross childcare fees,1,Yes,2019,11,64.6,70.6,1,66.4
HRV,Croatia,Percentage of average wage,Gross childcare fees,1,Yes,2015,16,45.3,69.7,3.4,66.3
HRV,Croatia,Percentage of average wage,Gross childcare fees,1,Yes,2018,15,49.4,74.5,4.1,70.4
HRV,Croatia,Percentage of average wage,Gross childcare fees,1,Yes,2019,14,50.4,76.7,4,72.7
EST,Estonia,Percentage of average wage,Gross childcare fees,1,Yes,2008,3,65.8,68.7,6,62.6
EST,Estonia,Percentage of average wage,Gross childcare fees,1,Yes,2012,6,65,64.8,7,57.7
EST,Estonia,Percentage of average wage,Gross childcare fees,1,Yes,2015,6,68.3,68.9,9.1,59.6
EST,Estonia,Percentage of average wage,Gross childcare fees,1,Yes,2018,6,71.8,70.8,9.4,60.9
EST,Estonia,Percentage of average wage,Gross childcare fees,1,Yes,2019,9,72.4,71,10.1,60.3
ISR,Israel,Percentage of average wage,Gross childcare fees,1,Yes,2008,16,63.2,60.4,29.5,30.3
ISR,Israel,Percentage of average wage,Gross childcare fees,1,Yes,2012,17,56,56.5,24.9,31
ISR,Israel,Percentage of average wage,Gross childcare fees,1,Yes,2015,13,57.5,62.5,25.1,36.9
ISR,Israel,Percentage of average wage,Gross childcare fees,1,Yes,2018,15,60.8,67.7,25.1,41.9
ISR,Israel,Percentage of average wage,Gross childcare fees,1,Yes,2019,16,61.9,68.4,24.9,42.7
LVA,Latvia,Percentage of average wage,Gross childcare fees,1,Yes,2008,12,62,72.7,5.9,66
LVA,Latvia,Percentage of average wage,Gross childcare fees,1,Yes,2012,12,60.3,71.1,6.5,64
LVA,Latvia,Percentage of average wage,Gross childcare fees,1,Yes,2015,16,63.5,73.3,6.7,66.2
LVA,Latvia,Percentage of average wage,Gross childcare fees,1,Yes,2018,13,66.3,78,4.5,73.4
LVA,Latvia,Percentage of average wage,Gross childcare fees,1,Yes,2019,8,67.7,78.3,5.8,71.9
LTU,Lithuania,Percentage of average wage,Gross childcare fees,1,Yes,2008,12,56.5,75,5.5,67.8
LTU,Lithuania,Percentage of average wage,Gross childcare fees,1,Yes,2012,18,56.6,75.5,7.7,67
LTU,Lithuania,Percentage of average wage,Gross childcare fees,1,Yes,2015,18,62.2,77.7,7.6,68.8
LTU,Lithuania,Percentage of average wage,Gross childcare fees,1,Yes,2018,17,68.3,80,6.2,72
LTU,Lithuania,Percentage of average wage,Gross childcare fees,1,Yes,2019,9,69.2,80.8,4.8,74
ROU,Romania,Percentage of average wage,Gross childcare fees,1,Yes,2008,0,47.2,66.1,5.9,60.2
ROU,Romania,Percentage of average wage,Gross childcare fees,1,Yes,2012,0,47.3,66,5.9,60
ROU,Romania,Percentage of average wage,Gross childcare fees,1,Yes,2015,0,48.4,65.2,5.5,59.7
ROU,Romania,Percentage of average wage,Gross childcare fees,1,Yes,2018,13,51.4,67.3,4.8,62.5
ROU,Romania,Percentage of average wage,Gross childcare fees,1,Yes,2019,11,51.5,68.5,4.5,63.9
SVN,Slovenia,Percentage of average wage,Gross childcare fees,1,Yes,2008,56,54.1,84.9,3.5,81.5
SVN,Slovenia,Percentage of average wage,Gross childcare fees,1,Yes,2012,55,56.3,86.1,4.2,81.9
SVN,Slovenia,Percentage of average wage,Gross childcare fees,1,Yes,2015,52,53.4,80.6,7,73.7
SVN,Slovenia,Percentage of average wage,Gross childcare fees,1,Yes,2018,48,59.9,85.5,7.1,78.4
SVN,Slovenia,Percentage of average wage,Gross childcare fees,1,Yes,2019,49,61.2,86.6,6.9,79.7
